t;u;theta_1
0.05;0.12;0.00
5.06;12.70;64.91
10.07;25.28;194.73
15.08;37.85;421.91
20.09;50.37;681.54
25.10;62.84;1006.09
30.12;75.26;1363.09
35.13;87.59;1752.54
40.15;99.87;2174.45
45.18;112.06;2596.36
50.18;124.09;3050.72
55.20;136.01;3505.08
60.20;147.80;3991.90
65.22;159.44;4478.72
70.24;170.93;4933.08
75.26;182.28;5452.35
80.27;193.40;5939.17
85.28;204.34;6425.98
90.28;215.07;6945.26
95.30;225.59;7464.53
100.31;235.91;7951.35
105.33;245.99;8470.62
110.34;255.82;8989.89
115.36;265.40;9509.16
120.37;274.71;10028.43
125.39;283.75;10515.25
130.40;292.50;11034.52
135.42;300.98;11553.79
140.42;309.13;12073.06
145.43;316.98;12592.33
150.45;324.53;13111.61
155.46;331.75;13630.88
160.48;338.65;14150.15
165.49;345.20;14669.42
170.50;351.41;15188.69
175.52;357.27;15707.96
180.52;362.76;16227.23
185.54;367.91;16778.96
190.55;372.68;17298.23
195.56;377.08;17817.50
200.57;381.11;18336.78
205.58;384.76;18856.05
210.60;388.02;19375.32
215.61;390.90;19894.59
220.62;393.38;20413.86
225.63;395.47;20933.13
230.64;397.17;21452.41
235.65;398.47;21971.68
240.66;399.38;22523.40
245.68;399.88;23042.67
250.68;399.99;23561.95
255.70;399.69;24081.22
260.71;399.00;24600.49
265.72;397.91;25119.76
270.73;396.42;25639.03
275.75;394.53;26158.31
280.76;392.25;26677.58
285.78;389.57;27196.84
290.79;386.50;27716.12
295.81;383.05;28267.84
300.82;379.21;28787.12
305.83;374.99;29306.39
310.85;370.40;29825.66
315.86;365.43;30344.93
320.89;360.09;30864.20
325.90;354.40;31383.47
330.92;348.33;31935.20
335.93;341.94;32454.47
340.95;335.19;32973.74
345.96;328.10;33493.01
350.99;320.68;34012.29
356.00;312.94;34531.55
361.02;304.89;35050.83
366.03;296.54;35570.10
371.04;287.88;36089.37
376.06;278.94;36641.10
381.08;269.70;37160.37
386.08;260.22;37679.64
391.10;250.46;38198.91
396.11;240.45;38718.18
401.14;230.16;39237.45
406.15;219.69;39789.18
411.16;208.98;40308.45
416.18;198.06;40827.72
421.19;186.95;41346.99
426.20;175.64;41866.26
431.22;164.15;42385.54
436.24;152.49;42904.81
441.26;140.67;43424.08
446.27;128.73;43943.35
451.28;116.64;44495.08
456.29;104.46;45014.35
461.31;92.15;45533.62
466.32;79.77;46052.89
471.33;67.29;46572.16
476.34;54.75;47091.43
481.35;42.16;47610.71
486.36;29.52;48162.43
491.38;16.83;48681.71
496.40;4.13;49200.98
501.41;-8.57;49720.25
506.42;-21.26;50109.70
511.43;-33.92;50369.34
516.44;-46.55;50434.25
521.46;-59.15;50401.79
526.47;-71.68;50239.52
531.48;-84.14;50044.79
536.50;-96.52;49752.70
541.51;-108.81;49460.61
546.52;-120.97;49071.16
551.53;-133.02;48714.16
556.54;-144.93;48292.25
561.56;-156.70;47870.34
566.56;-168.31;47448.44
571.57;-179.74;46994.07
576.59;-191.01;46539.71
581.60;-202.09;46052.89
586.62;-212.96;45566.08
591.63;-223.63;45079.26
596.65;-234.06;44592.44
601.67;-244.28;44073.17
606.68;-254.23;43553.90
611.70;-263.93;43067.08
616.71;-273.35;42547.81
621.73;-282.51;42060.99
626.75;-291.38;41541.72
631.76;-299.94;41022.45
636.77;-308.21;40503.17
641.80;-316.18;39983.91
646.82;-323.84;39464.63
651.84;-331.15;38945.37
656.86;-338.13;38426.09
661.87;-344.76;37906.82
666.88;-351.03;37387.55
671.90;-356.97;36868.27
676.91;-362.53;36316.55
681.93;-367.73;35797.28
686.94;-372.56;35278.01
691.95;-377.00;34758.74
696.97;-381.07;34239.46
701.98;-384.75;33687.74
706.99;-388.04;33168.47
712.00;-390.93;32649.20
717.01;-393.43;32129.92
722.02;-395.53;31610.65
727.03;-397.23;31058.93
732.04;-398.52;30539.66
737.05;-399.41;30020.39
742.07;-399.90;29468.66
747.08;-399.98;28949.39
752.09;-399.66;28430.12
757.12;-398.92;27910.85
762.13;-397.78;27391.57
767.14;-396.24;26839.85
772.16;-394.29;26320.58
777.19;-391.93;25768.85
782.21;-389.19;25249.58
787.22;-386.04;24730.31
792.24;-382.50;24211.04
797.25;-378.58;23659.31
802.27;-374.26;23140.04
807.28;-369.56;22620.77
812.29;-364.50;22069.04
817.31;-359.05;21549.77
822.34;-353.23;21030.50
827.35;-347.06;20511.23
832.36;-340.54;19959.50
837.38;-333.66;19440.23
842.38;-326.46;18888.50
847.40;-318.92;18369.23
852.42;-311.04;17849.96
857.43;-302.84;17330.69
862.45;-294.34;16778.96
867.46;-285.55;16259.69
872.48;-276.44;15707.96
877.50;-267.07;15188.69
882.51;-257.42;14669.42
887.52;-247.51;14117.70
892.54;-237.34;13598.42
897.56;-226.91;13079.15
902.57;-216.28;12527.42
907.58;-205.41;12008.15
912.60;-194.35;11488.88
917.61;-183.06;10937.16
922.62;-171.62;10417.88
927.63;-160.00;9866.16
932.64;-148.19;9346.89
937.66;-136.23;8827.62
942.68;-124.13;8308.34
947.69;-111.90;7756.62
952.72;-99.54;7237.35
957.73;-87.10;6685.62
962.75;-74.55;6166.35
967.74;-61.99;5647.08
972.76;-49.31;5095.35
977.78;-36.57;4576.08
982.79;-23.82;4024.35
987.80;-11.05;3505.08
992.81;1.76;2985.81
997.83;14.56;2563.90
1002.84;27.35;2304.27
1007.86;40.12;2206.90
1012.88;52.84;2239.36
1017.89;65.51;2336.72
1022.92;78.14;2531.45
1027.93;90.66;2791.08
1032.94;103.09;3115.63
1037.96;115.40;3472.63
1042.97;127.61;3829.63
1047.98;139.69;4251.54
1053.00;151.62;4673.44
1058.02;163.41;5127.81
1063.03;175.02;5549.71
1068.05;186.47;6036.53
1073.06;197.71;6490.89
1078.08;208.75;6977.71
1083.10;219.60;7464.53
1088.12;230.20;7983.80
1093.12;240.56;8470.62
1098.13;250.67;8957.43
1103.14;260.52;9476.70
1108.16;270.13;9995.98
1113.17;279.44;10515.25
1118.18;288.48;11002.07
1123.20;297.21;11521.34
1128.21;305.63;12040.61
1133.22;313.75;12559.88
1138.24;321.55;13079.15
1143.25;329.02;13598.42
1148.26;336.15;14117.70
1153.28;342.93;14636.97
1158.30;349.37;15156.24
1163.31;355.44;15675.51
1168.33;361.15;16194.78
1173.34;366.48;16714.05
1178.36;371.44;17233.33
1183.37;376.01;17752.60
1188.38;380.19;18271.87
1193.39;383.98;18791.14
1198.40;387.38;19310.41
1203.41;390.38;19862.14
1208.42;392.98;20381.41
1213.43;395.17;20900.68
1218.44;396.95;21419.95
1223.46;398.33;21939.22
1228.46;399.30;22458.50
1233.47;399.85;22977.76
1238.49;400.00;23497.04
1243.50;399.72;24016.31
1248.52;399.04;24535.58
1253.54;397.94;25054.85
1258.56;396.43;25606.58
1263.57;394.52;26125.85
1268.58;392.19;26645.12
1273.60;389.46;27164.39
1278.61;386.33;27683.66
1283.62;382.80;28202.94
1288.64;378.87;28754.66
1293.65;374.55;29273.93
1298.66;369.84;29793.20
1303.67;364.75;30312.47
1308.68;359.28;30831.75
1313.70;353.44;31351.02
1318.72;347.23;31870.29
1323.73;340.67;32389.56
1328.74;333.74;32941.28
1333.75;326.48;33460.56
1338.76;318.89;33979.83
1343.77;310.95;34499.10
1348.79;302.69;35018.37
1353.80;294.11;35570.10
1358.82;285.23;36089.37
1363.84;276.05;36608.64
1368.84;266.60;37127.91
1373.86;256.86;37647.19
1378.87;246.86;38166.45
1383.89;236.59;38685.73
1388.90;226.08;39205.00
1393.91;215.35;39724.27
1398.92;204.39;40276.00
1403.93;193.22;40795.27
1408.94;181.83;41314.54
1413.95;170.28;41833.81
1418.96;158.53;42353.08
1423.97;146.62;42904.81
1428.98;134.57;43424.08
1434.00;122.35;43943.35
1439.00;110.03;44462.62
1444.02;97.57;44981.89
1449.03;85.01;45501.17
1454.04;72.39;46020.44
1459.06;59.66;46539.71
1464.07;46.87;47058.98
1469.08;34.05;47610.71
1474.09;21.18;48129.98
1479.11;8.29;48649.25
1484.12;-4.63;49168.52
1489.13;-17.51;49590.43
1494.15;-30.40;49817.61
1499.17;-43.26;49914.97
1504.18;-56.05;49850.07
1509.18;-68.79;49720.25
1514.20;-81.48;49525.52
1519.21;-94.06;49233.43
1524.23;-106.57;48908.89
1529.24;-118.96;48551.89
1534.25;-131.22;48162.43
1539.26;-143.33;47740.52
1544.27;-155.30;47318.61
1549.28;-167.10;46864.25
1554.29;-178.76;46377.44
1559.31;-190.23;45923.08
1564.32;-201.50;45436.26
1569.34;-212.56;44916.99
1574.35;-223.39;44430.17
1579.36;-233.99;43943.35
1584.37;-244.33;43424.08
1589.38;-254.44;42904.81
1594.40;-264.28;42385.54
1599.41;-273.84;41866.26
1604.42;-283.12;41346.99
1609.43;-292.09;40827.72
1614.44;-300.77;40308.45
1619.45;-309.13;39789.18
1624.46;-317.17;39237.45
1629.48;-324.88;38718.18
1634.50;-332.26;38198.91
1639.52;-339.30;37647.19
1644.53;-345.97;37127.91
1649.54;-352.29;36608.64
1654.56;-358.23;36056.91
1659.57;-363.80;35537.64
1664.59;-368.99;35018.37
1669.60;-373.79;34466.65
1674.62;-378.21;33947.37
1679.63;-382.22;33428.10
1684.64;-385.84;32876.38
1689.65;-389.04;32357.11
1694.67;-391.85;31805.38
1699.68;-394.25;31286.11
1704.69;-396.23;30766.84
1709.70;-397.79;30215.11
1714.72;-398.94;29695.84
1719.74;-399.67;29144.11
1724.75;-399.99;28624.84
1729.77;-399.88;28105.57
1734.78;-399.35;27553.85
1739.79;-398.41;27002.12
1744.80;-397.05;26482.85
1749.83;-395.26;25963.58
1754.84;-393.07;25411.85
1759.85;-390.46;24892.58
1764.86;-387.44;24340.85
1769.88;-384.01;23821.58
1774.88;-380.19;23302.31
1779.89;-375.97;22750.58
1784.91;-371.34;22198.86
1789.92;-366.32;21679.59
1794.93;-360.93;21160.32
1799.95;-355.14;20608.59
1804.97;-348.99;20089.32
1809.98;-342.47;19537.59
1814.99;-335.59;19018.32
1820.01;-328.34;18499.05
1825.02;-320.77;17947.32
1830.04;-312.83;17428.05
1835.05;-304.59;16876.33
1840.07;-296.02;16357.05
1845.08;-287.13;15837.78
1850.09;-277.95;15286.05
1855.11;-268.46;14734.33
1860.12;-258.71;14215.06
1865.14;-248.66;13695.79
1870.16;-238.35;13144.06
1875.17;-227.80;12624.79
1880.18;-217.02;12073.06
1885.19;-205.99;11553.79
1890.20;-194.77;11034.52
1895.21;-183.33;10482.79
1900.22;-171.70;9931.07
1905.23;-159.89;9411.80
1910.24;-147.90;8892.52
